X,Y
0,-68.9691
4.93213,-54.5691
9.86427,-58.9691
14.7964,-79.7691
19.72854,-80.9691
24.66067,-71.3691
29.5928,-69.3691
34.52494,-72.9691
39.45707,-74.5691
44.3892,-77.3691
49.32134,-65.7691
54.25347,-59.3691
59.18561,-56.9691
64.11774,-61.7691
69.04987,-72.1691
73.98201,-75.7691
78.91414,-69.7691
83.84627,-62.5691
88.7784,-62.9691
93.71053,-72.9691
98.64266,-73.7691
103.57479,-75.7691
108.50692,-72.9691
113.43905,-71.7691
118.37118,-79.7691
123.30331,-80.9691
128.23544,-72.1691
133.16757,-74.5691
138.0997,-79.7691
143.03183,-75.7691
147.96396,-80.9691
152.89609,-75.7691
157.82822,-74.9691
162.76035,-73.7691
167.69248,-77.3691
172.62461,-72.9691
177.55674,-73.7691
182.48887,-79.7691
187.421,-76.9691
192.35313,-74.5691
197.28526,-76.9691
202.21739,-80.9691
207.14952,-79.7691
212.08165,-74.5691
217.01378,-80.9691
221.94591,-80.9691
226.87804,-74.5691
231.81017,-70.9691
236.7423,-72.9691
241.67443,-71.7691
246.60656,-80.9691
251.53869,-80.9691
256.47082,-79.7691
261.40295,-80.9691
266.33508,-75.7691
271.26721,-75.7691
276.19934,-80.9691
281.13147,-80.9691
286.0636,-77.3691
290.99573,-72.9691
295.92786,-80.9691
300.85999,-77.3691
305.79212,-71.7691
310.72425,-71.7691
315.65638,-80.9691
320.58851,-77.3691
325.52064,-76.9691
330.45277,-80.9691
335.3849,-79.7691
340.31703,-80.9691
345.24916,-79.7691
350.18129,-76.9691
355.11342,-80.9691
360.04555,-77.3691
364.97768,-74.5691
369.90981,-73.7691
374.84194,-75.7691
379.77407,-73.7691
384.7062,-80.9691
389.63833,-76.9691
394.57046,-72.9691
399.50259,-69.7691
404.43472,-70.9691
409.36685,-74.5691
414.29898,-79.7691
419.23111,-77.7691
424.16324,-76.9691
429.09537,-71.3691
434.0275,-70.5691
438.95963,-71.7691
443.89176,-80.9691
448.82389,-79.7691
453.75602,-74.5691
458.68815,-77.3691
463.62028,-79.7691
468.55241,-71.7691
473.48454,-70.9691
478.41667,-72.1691
483.3488,-74.5691
488.28093,-72.9691
493.21306,-71.3691
498.14519,-76.9691
503.07732,-80.9691
508.00945,-75.7691
512.94158,-74.9691
517.87371,-80.9691
522.80584,-72.1691
527.73797,-69.7691
532.6701,-70.9691
537.60223,-71.7691
542.53436,-74.5691
547.46649,-80.9691
552.39862,-76.9691
557.33075,-75.7691
562.26288,-73.7691
567.19501,-75.7691
572.12714,-80.9691
577.05927,-80.9691
581.9914,-77.3691
586.92353,-80.9691
591.85566,-77.3691
596.78779,-80.9691
601.71992,-80.9691
606.65205,-80.9691
611.58418,-77.7691
616.51631,-72.9691
621.44844,-74.5691
626.38057,-80.9691
631.3127,-77.7691
636.24483,-80.9691
641.17696,-79.7691
646.10909,-79.7691
651.04122,-79.7691
655.97335,-79.7691
660.90548,-80.9691
665.83761,-76.9691
670.76974,-74.9691
675.70187,-80.9691
680.634,-80.9691
685.56613,-80.9691
690.49826,-80.9691
695.43039,-76.9691
700.36252,-72.9691
705.29465,-68.9691
710.22678,-71.3691
715.15891,-72.1691
720.09104,-72.9691
725.02317,-72.9691
729.9553,-74.5691
734.88743,-72.9691
739.81956,-72.9691
744.75169,-80.9691
749.68382,-73.7691
754.61595,-69.7691
759.54808,-74.5691
764.48021,-77.3691
769.41234,-80.9691
774.34447,-77.3691
779.2766,-74.5691
784.20873,-80.9691
789.14086,-76.9691
794.07299,-70.9691
799.00512,-70.9691
803.93725,-74.5691
808.86938,-69.7691
813.80151,-70.5691
818.73364,-74.5691
823.66577,-80.9691
828.5979,-75.7691
833.53003,-72.9691
838.46216,-80.9691
843.39429,-79.7691
848.32642,-77.3691
853.25855,-77.7691
858.19068,-76.9691
863.12281,-80.9691
868.05494,-74.5691
872.98707,-76.9691
877.9192,-80.9691
882.85133,-74.5691
887.78346,-72.9691
892.71559,-75.7691
897.64772,-74.5691
902.57985,-79.7691
907.51198,-74.5691
912.44411,-65.3691
917.37624,-56.1691
922.30837,-59.3691
927.2405,-76.9691
932.17263,-79.7691
937.10476,-80.9691
942.03689,-69.7691
946.96902,-69.7691
951.90115,-73.7691
956.83328,-80.9691
961.76541,-80.9691
966.69754,-79.7691
971.62967,-72.9691
976.5618,-71.3691
981.49393,-72.9691
986.42606,-72.9691
991.35819,-79.7691
996.29032,-80.9691
1001.22245,-77.7691
1006.15458,-75.7691
1011.08671,-73.7691
1016.01884,-79.7691
1020.95097,-80.9691
1025.8831,-74.5691
1030.81523,-74.5691
1035.74736,-75.7691
1040.67949,-72.1691
1045.61162,-72.1691
1050.54375,-77.3691
1055.47588,-75.7691
1060.40801,-77.7691
1065.34014,-76.9691
1070.27227,-72.9691
1075.2044,-76.9691
1080.13653,-80.9691
1085.06866,-72.9691
1090.00079,-68.9691
1094.93292,-68.9691
1099.86505,-69.7691
1104.79718,-75.7691
1109.72931,-72.9691
1114.66144,-71.3691
1119.59357,-74.5691
1124.5257,-80.9691
1129.45783,-76.9691
1134.38996,-75.7691
1139.32209,-74.5691
1144.25422,-74.5691
1149.18635,-77.3691
1154.11848,-72.9691
1159.05061,-70.1691
1163.98274,-69.7691
1168.91487,-77.3691
1173.847,-79.7691
1178.77913,-80.9691
1183.71126,-72.1691
1188.64339,-69.7691
1193.57552,-72.9691
1198.50765,-80.9691
1203.43978,-79.7691
1208.37191,-80.9691
1213.30404,-72.9691
1218.23617,-74.9691
1223.1683,-75.7691
1228.10043,-76.9691
1233.03256,-80.9691
1237.96469,-80.9691
1242.89682,-80.9691
1247.82895,-80.9691
1252.76108,-72.9691
1257.69321,-74.5691
1262.62534,-80.9691
1267.55747,-74.9691
1272.4896,-71.7691
1277.42173,-71.7691
1282.35386,-70.9691
1287.28599,-73.7691
1292.21812,-76.9691
1297.15025,-80.9691
1302.08238,-80.9691
