Description	
Number of Runs	150
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	880
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	880	8	5	04/27/26 08:59:02 AM	
2	880	8	5	04/27/26 08:59:07 AM	
3	880	15	5	04/27/26 08:59:12 AM	
4	880	18	5	04/27/26 08:59:17 AM	
5	880	5	5	04/27/26 08:59:22 AM	
6	880	13	5	04/27/26 08:59:28 AM	
7	880	14	5	04/27/26 08:59:33 AM	
8	880	11	5	04/27/26 08:59:38 AM	
9	880	17	5	04/27/26 08:59:43 AM	
10	880	8	5	04/27/26 08:59:48 AM	
11	880	21	5	04/27/26 08:59:54 AM	
12	880	11	5	04/27/26 08:59:59 AM	
13	880	10	5	04/27/26 09:00:04 AM	
14	880	11	5	04/27/26 09:00:09 AM	
15	880	14	5	04/27/26 09:00:14 AM	
16	880	15	5	04/27/26 09:00:19 AM	
17	880	11	5	04/27/26 09:00:25 AM	
18	880	10	5	04/27/26 09:00:30 AM	
19	880	10	5	04/27/26 09:00:35 AM	
20	880	12	5	04/27/26 09:00:40 AM	
21	880	6	5	04/27/26 09:00:45 AM	
22	880	15	5	04/27/26 09:00:51 AM	
23	880	6	5	04/27/26 09:00:56 AM	
24	880	20	5	04/27/26 09:01:01 AM	
25	880	14	5	04/27/26 09:01:06 AM	
26	880	10	5	04/27/26 09:01:12 AM	
27	880	14	5	04/27/26 09:01:17 AM	
28	880	11	5	04/27/26 09:01:22 AM	
29	880	15	5	04/27/26 09:01:27 AM	
30	880	8	5	04/27/26 09:01:32 AM	
31	880	11	5	04/27/26 09:01:38 AM	
32	880	13	5	04/27/26 09:01:43 AM	
33	880	11	5	04/27/26 09:01:48 AM	
34	880	15	5	04/27/26 09:01:53 AM	
35	880	16	5	04/27/26 09:01:59 AM	
36	880	10	5	04/27/26 09:02:04 AM	
37	880	11	5	04/27/26 09:02:09 AM	
38	880	10	5	04/27/26 09:02:14 AM	
39	880	11	5	04/27/26 09:02:19 AM	
40	880	15	5	04/27/26 09:02:24 AM	
41	880	14	5	04/27/26 09:02:30 AM	
42	880	14	5	04/27/26 09:02:35 AM	
43	880	9	5	04/27/26 09:02:40 AM	
44	880	11	5	04/27/26 09:02:45 AM	
45	880	14	5	04/27/26 09:02:51 AM	
46	880	9	5	04/27/26 09:02:56 AM	
47	880	11	5	04/27/26 09:03:01 AM	
48	880	16	5	04/27/26 09:03:06 AM	
49	880	11	5	04/27/26 09:03:11 AM	
50	880	11	5	04/27/26 09:03:16 AM	
51	880	14	5	04/27/26 09:03:22 AM	
52	880	13	5	04/27/26 09:03:27 AM	
53	880	6	5	04/27/26 09:03:32 AM	
54	880	6	5	04/27/26 09:03:37 AM	
55	880	10	5	04/27/26 09:03:42 AM	
56	880	9	5	04/27/26 09:03:48 AM	
57	880	7	5	04/27/26 09:03:53 AM	
58	880	8	5	04/27/26 09:03:58 AM	
59	880	11	5	04/27/26 09:04:03 AM	
60	880	8	5	04/27/26 09:04:08 AM	
61	880	12	5	04/27/26 09:04:13 AM	
62	880	17	5	04/27/26 09:04:18 AM	
63	880	18	5	04/27/26 09:04:24 AM	
64	880	12	5	04/27/26 09:04:29 AM	
65	880	7	5	04/27/26 09:04:34 AM	
66	880	13	5	04/27/26 09:04:39 AM	
67	880	17	5	04/27/26 09:04:44 AM	
68	880	10	5	04/27/26 09:04:50 AM	
69	880	15	5	04/27/26 09:04:55 AM	
70	880	10	5	04/27/26 09:05:00 AM	
71	880	22	5	04/27/26 09:05:05 AM	
72	880	12	5	04/27/26 09:05:10 AM	
73	880	12	5	04/27/26 09:05:15 AM	
74	880	12	5	04/27/26 09:05:20 AM	
75	880	17	5	04/27/26 09:05:26 AM	
76	880	10	5	04/27/26 09:05:31 AM	
77	880	13	5	04/27/26 09:05:36 AM	
78	880	11	5	04/27/26 09:05:41 AM	
79	880	14	5	04/27/26 09:05:46 AM	
80	880	14	5	04/27/26 09:05:52 AM	
81	880	8	5	04/27/26 09:05:57 AM	
82	880	6	5	04/27/26 09:06:02 AM	
83	880	11	5	04/27/26 09:06:07 AM	
84	880	13	5	04/27/26 09:06:12 AM	
85	880	12	5	04/27/26 09:06:17 AM	
86	880	15	5	04/27/26 09:06:23 AM	
87	880	8	5	04/27/26 09:06:28 AM	
88	880	10	5	04/27/26 09:06:33 AM	
89	880	8	5	04/27/26 09:06:38 AM	
90	880	9	5	04/27/26 09:06:43 AM	
91	880	13	5	04/27/26 09:06:49 AM	
92	880	14	5	04/27/26 09:06:54 AM	
93	880	11	5	04/27/26 09:06:59 AM	
94	880	7	5	04/27/26 09:07:04 AM	
95	880	10	5	04/27/26 09:07:09 AM	
96	880	16	5	04/27/26 09:07:15 AM	
97	880	11	5	04/27/26 09:07:20 AM	
98	880	16	5	04/27/26 09:07:25 AM	
99	880	12	5	04/27/26 09:07:30 AM	
100	880	14	5	04/27/26 09:07:35 AM	
101	880	15	5	04/27/26 09:07:41 AM	
102	880	14	5	04/27/26 09:07:46 AM	
103	880	14	5	04/27/26 09:07:51 AM	
104	880	11	5	04/27/26 09:07:56 AM	
105	880	9	5	04/27/26 09:08:01 AM	
106	880	9	5	04/27/26 09:08:07 AM	
107	880	13	5	04/27/26 09:08:12 AM	
108	880	16	5	04/27/26 09:08:17 AM	
109	880	9	5	04/27/26 09:08:22 AM	
110	880	11	5	04/27/26 09:08:27 AM	
111	880	11	5	04/27/26 09:08:33 AM	
112	880	21	5	04/27/26 09:08:38 AM	
113	880	14	5	04/27/26 09:08:43 AM	
114	880	6	5	04/27/26 09:08:48 AM	
115	880	13	5	04/27/26 09:08:54 AM	
116	880	13	5	04/27/26 09:08:59 AM	
117	880	9	5	04/27/26 09:09:04 AM	
118	880	12	5	04/27/26 09:09:09 AM	
119	880	18	5	04/27/26 09:09:14 AM	
120	880	7	5	04/27/26 09:09:19 AM	
121	880	12	5	04/27/26 09:09:25 AM	
122	880	11	5	04/27/26 09:09:30 AM	
123	880	14	5	04/27/26 09:09:35 AM	
124	880	10	5	04/27/26 09:09:40 AM	
125	880	9	5	04/27/26 09:09:45 AM	
126	880	11	5	04/27/26 09:09:51 AM	
127	880	17	5	04/27/26 09:09:56 AM	
128	880	15	5	04/27/26 09:10:01 AM	
129	880	13	5	04/27/26 09:10:06 AM	
130	880	10	5	04/27/26 09:10:11 AM	
131	880	14	5	04/27/26 09:10:16 AM	
132	880	15	5	04/27/26 09:10:22 AM	
133	880	12	5	04/27/26 09:10:27 AM	
134	880	9	5	04/27/26 09:10:32 AM	
135	880	14	5	04/27/26 09:10:37 AM	
136	880	23	5	04/27/26 09:10:42 AM	
137	880	17	5	04/27/26 09:10:48 AM	
138	880	14	5	04/27/26 09:10:53 AM	
139	880	11	5	04/27/26 09:10:58 AM	
140	880	10	5	04/27/26 09:11:03 AM	
141	880	14	5	04/27/26 09:11:08 AM	
142	880	6	5	04/27/26 09:11:14 AM	
143	880	11	5	04/27/26 09:11:19 AM	
144	880	12	5	04/27/26 09:11:24 AM	
145	880	18	5	04/27/26 09:11:29 AM	
146	880	12	5	04/27/26 09:11:35 AM	
147	880	13	5	04/27/26 09:11:40 AM	
148	880	12	5	04/27/26 09:11:45 AM	
149	880	11	5	04/27/26 09:11:50 AM	
150	880	12	5	04/27/26 09:11:55 AM	
