Label,Units,n/a,Time_Piezo,Volts_Piezo,Label,Units,n/a,Time_Hammer,Volts_Hammer
Record Length,2500,Points,-1.03E-03,0,Record Length,2500,Points,-1.03E-03,-4.00E-02
Sample Interval,1.00E-06,s,-1.03E-03,0,Sample Interval,1.00E-06,s,-1.03E-03,0
Trigger Point,1.03E+03,Samples,-1.03E-03,0,Trigger Point,1.03E+03,Samples,-1.03E-03,0
,,,-1.03E-03,0,,,,-1.03E-03,0
,,,-1.03E-03,0,,,,-1.03E-03,0
,,,-1.03E-03,0,,,,-1.03E-03,4.00E-02
Source,CH1,,-1.03E-03,0,Source,CH2,,-1.03E-03,0
Vertical Units,Volts,,-1.03E-03,0,Vertical Units,Volts,,-1.03E-03,4.00E-02
Vertical Scale,2,,-1.03E-03,0,Vertical Scale,1.00E+00,,-1.03E-03,4.00E-02
Vertical Offset,0,,-1.03E-03,0,Vertical Offset,0,,-1.03E-03,4.00E-02
Horizontal Units,s,,-1.02E-03,0,Horizontal Units,s,,-1.02E-03,0
Horizontal Scale,2.50E-04,,-1.02E-03,0,Horizontal Scale,2.50E-04,,-1.02E-03,4.00E-02
Pt Fmt,Y,,-1.02E-03,0,Pt Fmt,Y,,-1.02E-03,0
Yzero,-1.36,,-1.02E-03,0,Yzero,-1.20E-01,,-1.02E-03,0
Probe Atten,1,,-1.02E-03,0,Probe Atten,1,,-1.02E-03,4.00E-02
,,,-1.02E-03,0,,,,-1.02E-03,0
Note,TDS 1002B - 9:11:56 AM   2/18/2026,,-1.02E-03,0,Note,TDS 1002B - 9:11:56 AM   2/18/2026,,-1.02E-03,0
,,,-1.02E-03,0,,,,-1.02E-03,0
,,,-1.02E-03,0,,,,-1.02E-03,-4.00E-02
,,,-1.02E-03,0,,,,-1.02E-03,0
,,,-1.01E-03,0,,,,-1.01E-03,-4.00E-02
,,,-1.01E-03,0,,,,-1.01E-03,-4.00E-02
,,,-1.01E-03,0,,,,-1.01E-03,-4.00E-02
,,,-1.01E-03,0,,,,-1.01E-03,-4.00E-02
,,,-1.01E-03,0,,,,-1.01E-03,-4.00E-02
,,,-1.01E-03,0,,,,-1.01E-03,-4.00E-02
,,,-1.01E-03,0,,,,-1.01E-03,-4.00E-02
,,,-1.01E-03,0,,,,-1.01E-03,-4.00E-02
,,,-1.01E-03,8.00E-02,,,,-1.01E-03,-4.00E-02
,,,-1.01E-03,0,,,,-1.01E-03,-4.00E-02
,,,-1.00E-03,0,,,,-1.00E-03,-4.00E-02
,,,-1.00E-03,0,,,,-1.00E-03,0
,,,-1.00E-03,0,,,,-1.00E-03,-4.00E-02
,,,-1.00E-03,0,,,,-1.00E-03,0
,,,-1.00E-03,0,,,,-1.00E-03,4.00E-02
,,,-9.99E-04,0,,,,-9.99E-04,4.00E-02
,,,-9.98E-04,0,,,,-9.98E-04,4.00E-02
,,,-9.97E-04,0,,,,-9.97E-04,8.00E-02
,,,-9.96E-04,0,,,,-9.96E-04,4.00E-02
,,,-9.95E-04,0,,,,-9.95E-04,4.00E-02
,,,-9.94E-04,0,,,,-9.94E-04,4.00E-02
,,,-9.93E-04,0,,,,-9.93E-04,4.00E-02
,,,-9.92E-04,0,,,,-9.92E-04,4.00E-02
,,,-9.91E-04,0,,,,-9.91E-04,4.00E-02
,,,-9.90E-04,0,,,,-9.90E-04,0
,,,-9.89E-04,0,,,,-9.89E-04,0
,,,-9.88E-04,0,,,,-9.88E-04,0
,,,-9.87E-04,0,,,,-9.87E-04,-4.00E-02
,,,-9.86E-04,0,,,,-9.86E-04,-4.00E-02
,,,-9.85E-04,0,,,,-9.85E-04,-4.00E-02
,,,-9.84E-04,0,,,,-9.84E-04,-4.00E-02
,,,-9.83E-04,0,,,,-9.83E-04,-4.00E-02
,,,-9.82E-04,0,,,,-9.82E-04,-4.00E-02
,,,-9.81E-04,0,,,,-9.81E-04,-4.00E-02
,,,-9.80E-04,0,,,,-9.80E-04,-4.00E-02
,,,-9.79E-04,0,,,,-9.79E-04,-4.00E-02
,,,-9.78E-04,0,,,,-9.78E-04,-4.00E-02
,,,-9.77E-04,0,,,,-9.77E-04,-4.00E-02
,,,-9.76E-04,0,,,,-9.76E-04,-4.00E-02
,,,-9.75E-04,0,,,,-9.75E-04,-4.00E-02
,,,-9.74E-04,0,,,,-9.74E-04,-4.00E-02
,,,-9.73E-04,0,,,,-9.73E-04,-4.00E-02
,,,-9.72E-04,0,,,,-9.72E-04,-4.00E-02
,,,-9.71E-04,0,,,,-9.71E-04,0
,,,-9.70E-04,0,,,,-9.70E-04,0
,,,-9.69E-04,0,,,,-9.69E-04,0
,,,-9.68E-04,0,,,,-9.68E-04,0
,,,-9.67E-04,0,,,,-9.67E-04,0
,,,-9.66E-04,0,,,,-9.66E-04,4.00E-02
,,,-9.65E-04,0,,,,-9.65E-04,4.00E-02
,,,-9.64E-04,0,,,,-9.64E-04,4.00E-02
,,,-9.63E-04,0,,,,-9.63E-04,4.00E-02
,,,-9.62E-04,0,,,,-9.62E-04,4.00E-02
,,,-9.61E-04,0,,,,-9.61E-04,4.00E-02
,,,-9.60E-04,0,,,,-9.60E-04,4.00E-02
,,,-9.59E-04,0,,,,-9.59E-04,4.00E-02
,,,-9.58E-04,0,,,,-9.58E-04,4.00E-02
,,,-9.57E-04,0,,,,-9.57E-04,4.00E-02
