Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	880
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	880	40	1	04/27/26 09:13:21 AM	
2	880	30	1	04/27/26 09:13:22 AM	
3	880	38	1	04/27/26 09:13:24 AM	
4	880	27	1	04/27/26 09:13:25 AM	
5	880	40	1	04/27/26 09:13:26 AM	
6	880	34	1	04/27/26 09:13:27 AM	
7	880	45	1	04/27/26 09:13:28 AM	
8	880	39	1	04/27/26 09:13:29 AM	
9	880	41	1	04/27/26 09:13:31 AM	
10	880	36	1	04/27/26 09:13:32 AM	
11	880	33	1	04/27/26 09:13:33 AM	
12	880	33	1	04/27/26 09:13:34 AM	
13	880	34	1	04/27/26 09:13:35 AM	
14	880	35	1	04/27/26 09:13:36 AM	
15	880	40	1	04/27/26 09:13:38 AM	
16	880	33	1	04/27/26 09:13:39 AM	
17	880	27	1	04/27/26 09:13:40 AM	
18	880	31	1	04/27/26 09:13:41 AM	
19	880	37	1	04/27/26 09:13:42 AM	
20	880	31	1	04/27/26 09:13:44 AM	
21	880	42	1	04/27/26 09:13:45 AM	
22	880	42	1	04/27/26 09:13:46 AM	
23	880	44	1	04/27/26 09:13:47 AM	
24	880	35	1	04/27/26 09:13:48 AM	
25	880	51	1	04/27/26 09:13:49 AM	
26	880	33	1	04/27/26 09:13:51 AM	
27	880	26	1	04/27/26 09:13:52 AM	
28	880	30	1	04/27/26 09:13:53 AM	
29	880	28	1	04/27/26 09:13:54 AM	
30	880	38	1	04/27/26 09:13:55 AM	
31	880	41	1	04/27/26 09:13:56 AM	
32	880	26	1	04/27/26 09:13:57 AM	
33	880	32	1	04/27/26 09:13:59 AM	
34	880	31	1	04/27/26 09:14:00 AM	
35	880	35	1	04/27/26 09:14:01 AM	
36	880	42	1	04/27/26 09:14:02 AM	
37	880	29	1	04/27/26 09:14:03 AM	
38	880	34	1	04/27/26 09:14:05 AM	
39	880	33	1	04/27/26 09:14:06 AM	
40	880	30	1	04/27/26 09:14:07 AM	
41	880	53	1	04/27/26 09:14:08 AM	
42	880	46	1	04/27/26 09:14:09 AM	
43	880	34	1	04/27/26 09:14:11 AM	
44	880	37	1	04/27/26 09:14:12 AM	
45	880	36	1	04/27/26 09:14:13 AM	
46	880	29	1	04/27/26 09:14:14 AM	
47	880	38	1	04/27/26 09:14:15 AM	
48	880	39	1	04/27/26 09:14:16 AM	
49	880	37	1	04/27/26 09:14:18 AM	
50	880	50	1	04/27/26 09:14:19 AM	
51	880	29	1	04/27/26 09:14:20 AM	
52	880	36	1	04/27/26 09:14:21 AM	
53	880	31	1	04/27/26 09:14:22 AM	
54	880	34	1	04/27/26 09:14:24 AM	
55	880	35	1	04/27/26 09:14:25 AM	
56	880	30	1	04/27/26 09:14:26 AM	
57	880	29	1	04/27/26 09:14:27 AM	
58	880	37	1	04/27/26 09:14:28 AM	
59	880	41	1	04/27/26 09:14:29 AM	
60	880	30	1	04/27/26 09:14:31 AM	
61	880	27	1	04/27/26 09:14:32 AM	
62	880	35	1	04/27/26 09:14:33 AM	
63	880	33	1	04/27/26 09:14:34 AM	
64	880	35	1	04/27/26 09:14:35 AM	
65	880	44	1	04/27/26 09:14:37 AM	
66	880	41	1	04/27/26 09:14:38 AM	
67	880	30	1	04/27/26 09:14:39 AM	
68	880	31	1	04/27/26 09:14:40 AM	
69	880	25	1	04/27/26 09:14:41 AM	
70	880	35	1	04/27/26 09:14:42 AM	
71	880	37	1	04/27/26 09:14:44 AM	
72	880	39	1	04/27/26 09:14:45 AM	
73	880	30	1	04/27/26 09:14:46 AM	
74	880	25	1	04/27/26 09:14:47 AM	
75	880	21	1	04/27/26 09:14:48 AM	
76	880	28	1	04/27/26 09:14:50 AM	
77	880	31	1	04/27/26 09:14:51 AM	
78	880	36	1	04/27/26 09:14:52 AM	
79	880	31	1	04/27/26 09:14:53 AM	
80	880	26	1	04/27/26 09:14:54 AM	
81	880	29	1	04/27/26 09:14:56 AM	
82	880	41	1	04/27/26 09:14:57 AM	
83	880	29	1	04/27/26 09:14:58 AM	
84	880	30	1	04/27/26 09:14:59 AM	
85	880	35	1	04/27/26 09:15:00 AM	
86	880	39	1	04/27/26 09:15:02 AM	
87	880	40	1	04/27/26 09:15:03 AM	
88	880	28	1	04/27/26 09:15:04 AM	
89	880	39	1	04/27/26 09:15:05 AM	
90	880	31	1	04/27/26 09:15:06 AM	
91	880	27	1	04/27/26 09:15:07 AM	
92	880	31	1	04/27/26 09:15:09 AM	
93	880	35	1	04/27/26 09:15:10 AM	
94	880	27	1	04/27/26 09:15:11 AM	
95	880	29	1	04/27/26 09:15:12 AM	
96	880	34	1	04/27/26 09:15:13 AM	
97	880	31	1	04/27/26 09:15:14 AM	
98	880	48	1	04/27/26 09:15:16 AM	
99	880	39	1	04/27/26 09:15:17 AM	
100	880	45	1	04/27/26 09:15:18 AM	
101	880	35	1	04/27/26 09:15:19 AM	
102	880	24	1	04/27/26 09:15:20 AM	
103	880	38	1	04/27/26 09:15:21 AM	
104	880	36	1	04/27/26 09:15:23 AM	
105	880	40	1	04/27/26 09:15:24 AM	
106	880	39	1	04/27/26 09:15:25 AM	
107	880	34	1	04/27/26 09:15:26 AM	
108	880	42	1	04/27/26 09:15:27 AM	
109	880	27	1	04/27/26 09:15:28 AM	
110	880	35	1	04/27/26 09:15:30 AM	
111	880	41	1	04/27/26 09:15:31 AM	
112	880	38	1	04/27/26 09:15:32 AM	
113	880	33	1	04/27/26 09:15:33 AM	
114	880	33	1	04/27/26 09:15:34 AM	
115	880	41	1	04/27/26 09:15:35 AM	
116	880	39	1	04/27/26 09:15:36 AM	
117	880	41	1	04/27/26 09:15:38 AM	
