Description	
Number of Runs	30
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	880
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	880	2318	30	04/27/26 09:52:10 AM	
2	880	1976	30	04/27/26 09:52:40 AM	
3	880	1725	30	04/27/26 09:53:11 AM	
4	880	1545	30	04/27/26 09:53:41 AM	
5	880	1380	30	04/27/26 09:54:11 AM	
6	880	1182	30	04/27/26 09:54:42 AM	
7	880	1080	30	04/27/26 09:55:12 AM	
8	880	913	30	04/27/26 09:55:43 AM	
9	880	827	30	04/27/26 09:56:13 AM	
10	880	718	30	04/27/26 09:56:43 AM	
11	880	662	30	04/27/26 09:57:14 AM	
12	880	571	30	04/27/26 09:57:44 AM	
13	880	464	30	04/27/26 09:58:14 AM	
14	880	428	30	04/27/26 09:58:45 AM	
15	880	406	30	04/27/26 09:59:15 AM	
16	880	343	30	04/27/26 09:59:46 AM	
17	880	286	30	04/27/26 10:00:16 AM	
18	880	294	30	04/27/26 10:00:46 AM	
19	880	279	30	04/27/26 10:01:17 AM	
20	880	227	30	04/27/26 10:01:47 AM	
21	880	194	30	04/27/26 10:02:17 AM	
22	880	192	30	04/27/26 10:02:48 AM	
23	880	162	30	04/27/26 10:03:18 AM	
24	880	161	30	04/27/26 10:03:48 AM	
25	880	125	30	04/27/26 10:04:19 AM	
26	880	137	30	04/27/26 10:04:49 AM	
27	880	120	30	04/27/26 10:05:19 AM	
28	880	110	30	04/27/26 10:05:50 AM	
29	880	108	30	04/27/26 10:06:20 AM	
30	880	91	30	04/27/26 10:06:51 AM	
